sensor_num,mean,std_dev,axis
0,918,18,0
0,-189,14,1
0,215,16,2
1,-896,18,0
1,45,23,1
1,422,18,2
2,-567,13,0
2,-489,21,1
2,-330,10,2
3,-227,15,0
3,252,14,1
3,-188,17,2
4,545,16,0
4,-365,18,1
4,444,21,2
5,367,19,0
5,405,19,1
5,-202,11,2
6,575,16,0
6,-611,15,1
6,757,10,2
7,-108,15,0
7,-923,10,1
7,383,18,2
8,-16,28,0
8,-564,21,1
8,251,11,2
9,967,20,0
9,-540,17,1
9,178,21,2
10,-11,8,0
10,-395,17,1
10,90,9,2
11,130,20,0
11,311,21,1
11,229,13,2
12,-88,12,0
12,-222,8,1
12,183,24,2
13,-340,9,0
13,-41,13,1
13,-250,14,2
14,686,15,0
14,-548,18,1
14,417,15,2
15,-261,18,0
15,-485,16,1
15,1131,15,2
16,109,13,0
16,-416,15,1
16,428,15,2
17,-980,10,0
17,-1912,17,1
17,510,18,2
18,527,15,0
18,864,14,1
18,-468,15,2
19,-443,14,0
19,152,15,1
19,187,18,2
20,-65,15,0
20,1022,17,1
20,135,16,2
21,-287,23,0
21,608,17,1
21,-131,13,2
22,1316,12,0
22,24,17,1
22,-133,14,2
23,-222,16,0
23,-391,18,1
23,-60,12,2
24,-449,19,0
24,225,19,1
24,171,16,2
25,712,16,0
25,-468,15,1
25,885,16,2
26,584,22,0
26,-284,16,1
26,277,18,2
27,-203,14,0
27,-36,12,1
27,178,19,2
28,864,16,0
28,-654,20,1
28,486,16,2
29,-486,23,0
29,-1112,16,1
29,283,15,2
30,158,16,0
30,-840,24,1
30,-496,19,2
31,395,14,0
31,120,15,1
31,110,15,2
32,326,13,0
32,466,15,1
32,493,9,2
33,423,12,0
33,-844,14,1
33,-153,16,2
34,-497,15,0
34,204,19,1
34,288,12,2
35,-504,9,0
35,-236,12,1
35,662,15,2
36,-284,9,0
36,-182,10,1
36,62,22,2
37,-371,17,0
37,348,15,1
37,710,23,2
38,-550,18,0
38,-373,9,1
38,146,12,2
39,784,14,0
39,293,16,1
39,-303,12,2
40,762,16,0
40,-697,20,1
40,260,16,2
41,342,19,0
41,-466,16,1
41,453,16,2
42,-427,13,0
42,-1038,18,1
42,55,15,2
43,213,16,0
43,-536,11,1
43,-410,12,2
44,989,19,0
44,375,16,1
44,286,12,2
